endTime,artistName,trackName,msPlayed
2022-12-28 18:36,Sanjay Leela Bhansali,Meri Jaan,126340
2022-12-28 18:39,Anirudh Ravichander,"Don'u Don'u Don'u (From ""Maari"") - The Don's Romance",195709
2022-12-28 18:43,Ed Sheeran,Shape of You,233712
2022-12-28 18:45,Sachin Warrier,Motta Modatisari,143827
2022-12-28 18:47,KK,Thalachi Thalachi(Male),128520
2022-12-29 04:14,Arijit Singh,Zaalima,289450
2022-12-29 04:18,Lata Mangeshkar,Jiya Jale,219220
2022-12-29 04:21,Devi Sri Prasad,"Veerayya Title Track (From ""Waltair Veerayya"")",26080
2022-12-29 04:21,Lipsika,Ra Ra Reddy I Am Ready,148510
2022-12-29 04:25,Shankar Mahadevan,Aagadu,249861
2022-12-29 04:28,Sri Krishna,Ala Vaikunthapurramuloo,193874
2022-12-29 04:33,Vishwa,Adaraku,296969
2022-12-29 04:36,Vijay Prakash,Aaradugula Bullet,136084
2022-12-29 04:39,Daler Mehndi,Saahore Baahubali,202378
2022-12-29 04:40,Bheems Ceciroleo,Bengal Tiger,72331
2022-12-29 04:42,Sai Sharan,Run,129790
2022-12-29 04:46,Ranjith Govind,"My Name Is Billa (From ""Billa"")",237232
2022-12-29 04:50,Amit Mishra,Dhruva Dhruva,207217
2022-12-29 04:54,Vijay Prakash,DJ Saranam Bhaje Bhaje,260357
2022-12-29 04:56,"Baba Sehgal, Naveen Madhav",Dekho Dekho Gabbar Singh,103853
2022-12-29 05:00,Baba Sehgal,Jalsa Jalsa,258384
2022-12-29 05:03,Simha,KICK,0
2022-12-29 05:03,Sukhwinder Singh,Jayaho Janatha,195225
2022-12-29 05:03,Anurag Kulkarni,Mira Mira Meesam,0
2022-12-29 05:03,Santhosh Narayanan,Nippu Ra,560
2022-12-29 05:03,"Suchith Suresan, Priya Hemesh",Julai,630
2022-12-29 05:04,Nakash Aziz,MCA,0
2022-12-29 05:04,"Daler Mehendi, Uma Neha, Anurag Kulkarni",Paisa Vasool,0
2022-12-29 05:04,Vishal Dadlani,Sainika,0
2022-12-29 05:04,Mangli,Bhoom Bhaddhal,520
2022-12-29 05:04,M.L.R. Karthikeyan,Legend,580
2022-12-29 05:04,Chinna Ponnu,Mirchi,580
2022-12-29 05:04,Yuvan Shankar Raja,Panjaa,1430
2022-12-29 05:05,"Daler Mehendi, Uma Neha, Anurag Kulkarni",Paisa Vasool,76160
2022-12-29 05:08,Yuvan Shankar Raja,Panjaa,214741
2022-12-29 05:09,Anirudh Ravichander,"Massu Maranam - From ""Petta (Telugu)""",4578
2022-12-29 05:13,Adnan Sami,Devuda Devuda,13810
2022-12-29 05:13,Kunal Ganjawala,Jagadame,269309
2022-12-29 05:18,Devi Sri Prasad,Daakko Daakko Meka,295624
2022-12-29 05:18,Shankar Mahadevan,Sarileru Neekevvaru Anthem,870
2022-12-29 05:18,Rahul,Savyasachi,760
2022-12-29 05:18,Benny Dayal,Sardaar,2185
2022-12-29 05:19,"Mano, Sravana Bhargavi",Simhamanti,70410
2022-12-29 05:19,Nikhita Gandhi,Boom Boom,760
2022-12-29 05:20,"Sooraj Santhosh, Ranina Reddy, M.L.R. Karthikeyan",Rama Rama,850
2022-12-29 05:21,Nikhita Gandhi,Boom Boom,96080
2022-12-29 05:21,"Raghu Dixit, Rita",Jaago,620
2022-12-29 05:21,"Sooraj Santhosh, Ranina Reddy, M.L.R. Karthikeyan",Rama Rama,710
2022-12-29 05:25,"Umaneha, M.L.R. Karthikeyan, Bhargavi Pillaye, Simha , Rap Rahul",Temper,246000
2022-12-29 05:27,Jaspreet,Mumbai Ke Hero,77040
2022-12-29 05:27,Thaman S,Sarkaru Vaari Paata-Title Song,1260
2022-12-29 05:28,Arun Kaundinya,Salaam Rocky Bhai,630
2022-12-29 05:28,Anirudh Ravichander,Gangu Leader,790
2022-12-29 05:28,"M.M.Keeravani, Mathangi",Agni Skalana,81470
2022-12-29 05:28,Shankar Mahadevan,Naluguriki,560
2022-12-29 05:31,Ramana Gogula,Made In Andhra,1310
2022-12-29 05:31,Ramana Gogula,Travelling Soldier,192930
2022-12-29 05:32,S. P. Balasubrahmanyam,Okade Okkadu,1410
2022-12-29 05:54,Thaman S,Najabhaja,197914
2022-12-29 05:56,Thaman S,God Father - Title Song,165810
2022-12-29 05:56,Thaman S,Jai Balayya Mass Anthem,1090
2022-12-29 05:56,G. V. Prakash,Thoofaney Veedamma,3815
2022-12-29 06:54,Devi Sri Prasad,"Veerayya Title Track (From ""Waltair Veerayya"")",200980
2022-12-29 07:01,K. S. Chithra,Bharata Vedamuga,2748
2022-12-29 07:01,Tippu,Ichchi Puchchu,1370
2022-12-29 07:04,Devi Sri Prasad,Rock And Roll,172320
2022-12-29 07:05,K. S. Chithra,Evaro Ravali,54127
2022-12-29 07:07,Devi Sri Prasad,"Waltair Veerayya (Title Theme) [From ""Waltair Veerayya""]",97581
2022-12-29 07:08,Devi Sri Prasad,Boss Party,106636
2022-12-29 07:13,MM Sreelekha,Urike Urike,275625
2022-12-29 07:30,Vishal Chandrashekhar,"Oh Sita Hey Rama (From ""Sita Ramam (Telugu)"")",26360
2022-12-29 11:21,S.P. Charan,Ganga,101000
